"eval_job_id","checkpoint_job_id","checkpoint_path","N","bleu","bertscore","f1","accuracy","accuracy_yn","accuracy_oe","normalised_exact_match","normalised_soft_match","normalised_yn_exact","normalised_oe_soft","status","file_name"
"8120","8080","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8080/open_ended_latest.pt","1061","0.768","0.43","0.576","0.73","0.786","0.701","0.729500471253534","0.769085768143261","0.785915492957746","0.760623229461756","ok","slake_eval_8120_for cp 8080 53e checkpoint.out"
"8155","8122","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8122/open_ended_latest.pt","1061","0.651","0.408","0.487","0.627","0.685","0.598","0.626767200754006","0.645617342130066","0.684507042253521","0.626062322946176","ok","slake_eval_8155_for cp 8122 1e4 checkpoint.out"
"8168","8161","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8161/open_ended_latest.pt","1061","0.712","0.422","0.535","0.673","0.707","0.656","0.672950047125353","0.70311027332705","0.707042253521127","0.701133144475921","ok","slake_eval_8168_for cp 8161-lr_1e4_epoch 50.out"
"8224","8162","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8162/open_ended_latest.pt","1061","0.76","0.425","0.569","0.72","0.786","0.687","0.720075400565504","0.76248821866164","0.785915492957746","0.75070821529745","ok","slake_eval_8224.out"
"8330",,,,,,,,,,,,,,"incomplete","slake_eval_8330.out"
"8331","8257","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8257/open_ended_latest.pt","1061","0.727","0.418","0.542","0.69","0.727","0.671","0.689915174363808","0.729500471253534","0.726760563380282","0.730878186968839","ok","slake_eval_8331.out"
"8332",,,,,,,,,,,,,,"incomplete","slake_eval_8332.out"
"8333",,,,,,,,,,,,,,"incomplete","slake_eval_8333.out"
"8334",,,,,,,,,,,,,,"incomplete","slake_eval_8334.out"
"8335",,,,,,,,,,,,,,"incomplete","slake_eval_8335.out"
"8336",,,,,,,,,,,,,,"incomplete","slake_eval_8336.out"
"8338","8329","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8329/open_ended_latest.pt","1061","0.641","0.402","0.479","0.612","0.659","0.588","0.611687087653157","0.658812441093308","0.659154929577465","0.658640226628895","ok","slake_eval_8338.out"
"9077","8342","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8342/open_ended_latest.pt","1061","0.687","0.414","0.514","0.644","0.696","0.618","0.64373232799246","0.688972667295005","0.695774647887324","0.685552407932011","ok","slake_eval_9077.out"
"9117","9078","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9078/open_ended_best_val.pt","1061","0.755","0.426","0.568","0.716","0.772","0.688","0.716305372290292","0.750235626767201","0.771830985915493","0.739376770538244","ok","slake_eval_9117.out"
"9151","9120","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9120/open_ended_best_val.pt","1061","0.699","0.425","0.53","0.662","0.67","0.657","0.661639962299717","0.694627709707823","0.670422535211268","0.706798866855524","ok","slake_eval_9151.out"
"9152","9127","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9127/open_ended_best_val.pt","1061","0.744","0.426","0.559","0.709","0.777","0.674","0.708765315739868","0.745523091423186","0.777464788732394","0.729461756373938","ok","slake_eval_9152.out"
"9166","9153","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9153/open_ended_best_val.pt","1061","0.752","0.428","0.563","0.714","0.752","0.695","0.714420358152686","0.754948162111216","0.752112676056338","0.756373937677054","ok","slake_eval_9166.out"
