"job_id","job_name","timestamp","git_commit","node_list","setting","model_type","dataset","prefix_length","batch_size","epochs","lr","mlp_dropout","max_train_samples","max_val_samples","max_test_samples","out_dir","checkpoint_best","checkpoint_latest","train_args","run_config_file"
"8080","slake_train","2026-04-16 17:13:56 AEST","2bef30b","g20-2gpu-2","frozen","gpt2-xl","slake","8","32","30","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8080","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8080/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8080/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 30 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8080","run_config_8080.txt"
"8122","slake_train_1e4","2026-04-16 21:37:19 AEST","dc7f692","g20-2gpu-2","frozen","gpt2-xl","slake","8","32","30","1e-4","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8122","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8122/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8122/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 30 --lr 1e-4 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8122","run_config_8122.txt"
"8161","slake_train_1e4_50_epochs","2026-04-17 12:16:21 AEST","dc7f692","g40-2gpu-1","frozen","gpt2-xl","slake","8","32","50","1e-4","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8161","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8161/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8161/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 50 --lr 1e-4 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8161","run_config_8161.txt"
"8162","slake_train_5e3_50_epochs","2026-04-17 12:22:58 AEST","dc7f692","g20-1gpu-1","frozen","gpt2-xl","slake","8","32","50","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8162","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8162/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8162/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 50 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8162","run_config_8162.txt"
"8257","slake_train_5e3_30ep_first_commit_appr","2026-04-17 15:48:29 AEST","d871ef2","g20-1gpu-1","frozen","gpt2-xl","slake","8","32","30","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8257","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8257/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8257/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 30 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8257","run_config_8257.txt"
"8329","slake_train_1e4_30ep_1st_comm_appr","2026-04-17 18:02:03 AEST","d871ef2","g20-1gpu-1","frozen","gpt2-xl","slake","8","32","30","1e-4","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8329","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8329/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8329/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 30 --lr 1e-4 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8329","run_config_8329.txt"
"8342","slake_train_5e3_100ep_first_commit_appr","2026-04-17 20:36:38 AEST","d871ef2","g20-1gpu-1","frozen","gpt2-xl","slake","8","32","100","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8342","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8342/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8342/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 100 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_8342","run_config_8342.txt"
"9078","slake_train_5e3_100ep_after_update_to_improve_bert","2026-04-23 22:22:04 AEST","4d8d473","g32-2gpu-1","frozen","gpt2-xl","slake","8","32","100","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9078","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9078/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9078/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 100 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9078","run_config_9078.txt"
"9120","slake_train_5e3_200ep_after_update_to_improve_bert","2026-04-24 12:10:12 AEST","4d8d473","g46-2gpu-1","frozen","gpt2-xl","slake","8","32","200","5e-3","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9120","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9120/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9120/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 200 --lr 5e-3 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9120","run_config_9120.txt"
"9127","slake_train_1e4_200ep_after_update_to_improve_bert","2026-04-24 12:38:19 AEST","4d8d473","g46-2gpu-1","frozen","gpt2-xl","slake","8","32","200","1e-4","","0","0","0","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9127","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9127/open_ended_best_val.pt","/home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9127/open_ended_latest.pt","--dataset slake --dataset_path /home/s225507154/datasets/ --model_type gpt2-xl --setting frozen --prefix_length 8 --batch_size 32 --epochs 200 --lr 1e-4 --max_train_samples 0 --max_val_samples 0 --max_test_samples 0 --out_dir /home/s225507154/checkpoints/newest-open-ended-medical-vqa-main/job_9127","run_config_9157.txt"
